0	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
1	[0]	[4]	[5]	[ ]	[ ]	[ ]	[ ]	
2	[0]	[4]	[ ]	[ ]	[ ]	[ ]	[ ]	
3	[0]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
4	[0]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
5	[0]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
6	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
7	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
8	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
9	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
10	[ ]	[ ]	[ ]	[ ]	[2]	[ ]	[ ]	
11	[ ]	[ ]	[ ]	[6]	[2]	[ ]	[ ]	
12	[ ]	[ ]	[ ]	[6]	[2]	[ ]	[ ]	
13	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
14	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
15	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
16	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
17	[ ]	[ ]	[ ]	[ ]	[ ]	[1]	[ ]	
18	[ ]	[ ]	[ ]	[ ]	[ ]	[1]	[ ]	
19	[ ]	[ ]	[ ]	[ ]	[ ]	[1]	[ ]	
20	[ ]	[ ]	[ ]	[ ]	[ ]	[1]	[ ]	
21	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
22	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
23	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
24	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
25	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
26	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
27	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
28	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[3]	
29	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[3]	
30	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[3]	
31	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[3]	
32	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[3]	
33	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[3]	
34	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
35	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
36	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
37	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
38	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
39	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
40	[ ]	[ ]	[7]	[ ]	[ ]	[ ]	[ ]	
41	[ ]	[ ]	[7]	[ ]	[ ]	[ ]	[ ]	
42	[ ]	[ ]	[7]	[ ]	[ ]	[ ]	[ ]	
43	[ ]	[ ]	[7]	[ ]	[ ]	[ ]	[ ]	
44	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	[ ]	
 	0-1	0-3	1-0	1-2	1-4	2-1	2-5	3-4	3-0	4-5	4-3	4-1	5-2	5-4	5-6	6-5	
0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
2	[]	[]	[]	[]	[]	[6]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
3	[]	[]	[]	[]	[]	[6]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
4	[]	[]	[]	[]	[]	[6]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
5	[]	[]	[6]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
6	[2]	[]	[6]	[]	[2]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
7	[2]	[]	[6]	[]	[2]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
8	[1]	[6]	[]	[]	[2]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
9	[1]	[6]	[]	[]	[2]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
10	[1]	[6]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
11	[]	[]	[]	[1]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
12	[]	[]	[]	[1]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
13	[]	[]	[]	[1]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
14	[]	[]	[]	[]	[]	[]	[1]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
15	[]	[]	[]	[]	[]	[]	[1]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
16	[]	[]	[]	[]	[]	[]	[1]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
17	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
18	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
19	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
20	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
21	[]	[]	[]	[]	[]	[]	[]	[]	[]	[3]	[]	[]	[]	[]	[3]	[]	
22	[]	[]	[]	[]	[]	[]	[]	[]	[]	[3]	[]	[]	[]	[]	[3]	[]	
23	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[3]	[]	
24	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[3]	[]	
25	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[3]	[]	
26	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[3]	[]	
27	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[3]	[]	
28	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
29	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
30	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
31	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
32	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	
